model,bucket,mean_pred,mean_obs,count
production_raw,0.0-0.1,0.006264333065975625,0.0,1
production_raw,0.1-0.2,0.1837169006521464,1.0,2
production_raw,0.2-0.3,0.2516505968501384,0.8888888888888888,9
production_raw,0.3-0.4,0.3571730910869015,0.8823529411764706,17
production_raw,0.4-0.5,0.46188081539499254,0.7384615384615385,65
production_raw,0.5-0.6,0.56643139099077,0.6404494382022472,534
production_raw,0.6-0.7,0.6585045618137705,0.6994859628311586,2529
production_raw,0.7-0.8,0.7484146418341993,0.7356574251990118,3643
production_raw,0.8-0.9,0.8326962514058497,0.8041237113402062,1358
production_raw,0.9-1.0,0.9300154408593879,0.8554216867469879,83
production_calibrated,0.0-0.1,0.0007072033630567966,0.0,1
production_calibrated,0.1-0.2,0.18492819332683777,1.0,3
production_calibrated,0.2-0.3,0.24146066991436432,0.8888888888888888,9
production_calibrated,0.3-0.4,0.3649261799177048,0.8333333333333334,12
production_calibrated,0.4-0.5,0.4532096292244496,0.875,24
production_calibrated,0.5-0.6,0.562384375782067,0.6386554621848739,119
production_calibrated,0.6-0.7,0.6644495713985175,0.6689847009735744,719
production_calibrated,0.7-0.8,0.7573212074950988,0.7002642506606267,2649
production_calibrated,0.8-0.9,0.8477097742802194,0.7476635514018691,3852
production_calibrated,0.9-1.0,0.925182049190256,0.8124267291910903,853
