league,n,p_mean,y_mean,log_loss,brier,market
D1,422,0.6566,0.6398,0.6496,0.2287,over_2_5
D2,74,0.6626,0.5811,0.7009,0.2533,over_2_5
DK1,26,0.655,0.6538,0.6386,0.2235,over_2_5
E0,128,0.6439,0.6875,0.6234,0.2159,over_2_5
F1,43,0.6542,0.6512,0.6491,0.2281,over_2_5
N1,192,0.6533,0.6771,0.6282,0.2183,over_2_5
P1,65,0.6597,0.7538,0.5751,0.1936,over_2_5
RS1,162,0.6846,0.6235,0.6644,0.2349,over_2_5
SA1,131,0.6604,0.6794,0.6165,0.213,over_2_5
SP1,55,0.662,0.7818,0.5528,0.1824,over_2_5
SW1,23,0.6448,0.6522,0.645,0.2263,over_2_5
D1,110,0.6788,0.7545,0.5725,0.1913,under_3_5
D2,621,0.6954,0.6763,0.6329,0.2201,under_3_5
DK1,334,0.7015,0.6707,0.6449,0.2255,under_3_5
E1,1990,0.7532,0.7558,0.5555,0.1844,under_3_5
F1,884,0.7023,0.7195,0.5939,0.2019,under_3_5
I1,1367,0.738,0.7469,0.5642,0.1884,under_3_5
I2,1144,0.722,0.764,0.5523,0.1826,under_3_5
N1,260,0.6736,0.6615,0.6419,0.2247,under_3_5
P1,1002,0.6989,0.7186,0.5912,0.201,under_3_5
RO1,919,0.7495,0.7606,0.5537,0.1833,under_3_5
RS1,598,0.7226,0.7341,0.5723,0.1926,under_3_5
SA1,491,0.7112,0.7067,0.604,0.2068,under_3_5
SP1,1138,0.7597,0.768,0.5418,0.1782,under_3_5
SP2,1445,0.7343,0.7917,0.5152,0.1665,under_3_5
SW1,523,0.6857,0.6424,0.6568,0.2317,under_3_5
D1,226,0.8406,0.823,0.4684,0.1459,under_4_5
D2,668,0.8512,0.8398,0.4385,0.1341,under_4_5
DK1,346,0.8564,0.8237,0.4772,0.1479,under_4_5
E0,339,0.8296,0.8732,0.3889,0.113,under_4_5
E1,1750,0.8964,0.8977,0.329,0.0916,under_4_5
F1,868,0.8641,0.8733,0.3766,0.1099,under_4_5
I1,1360,0.8793,0.8934,0.3394,0.0952,under_4_5
I2,1154,0.8701,0.9055,0.3185,0.0868,under_4_5
N1,174,0.8285,0.8448,0.4323,0.1313,under_4_5
P1,1111,0.8586,0.8731,0.3816,0.1111,under_4_5
RO1,919,0.8819,0.8934,0.3392,0.0952,under_4_5
RS1,590,0.868,0.878,0.3662,0.1061,under_4_5
SA1,481,0.8576,0.8503,0.4244,0.1278,under_4_5
SP1,1025,0.8767,0.8976,0.3335,0.0927,under_4_5
SP2,1414,0.8762,0.9081,0.3088,0.0839,under_4_5
SW1,570,0.8456,0.7982,0.5091,0.1627,under_4_5
D1,691,0.6184,0.6179,0.6653,0.2362,btts
E0,579,0.609,0.6079,0.6693,0.2382,btts
SA1,216,0.6172,0.5926,0.6784,0.2426,btts
